,,,,Online Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Segmentation,,,,Number of People Purchasing Consumer Goods Via Online Channels,, Total B2C Consumer Goods Spend ,, Avg Annual Revenue Per Consumer Goods Ecommerce Shopper ,,Online Purchases vs Total Consumer Goods Purchase Value Across All Retail Channels,," Estimated Annual Spend In Each Consumer Goods Ecommerce Category (B2C Only, $Billions USD, Full-Year 2025) ",,,,,,,,,,,,,Share of 2024 B2C Ecommerce Transaction Value Attributable to Each Type of Payment Method,,,,,Percentage of Internet Users Aged 16+ Who Say Each Factor Would Encourage Them to Complete an Online Purchase,,,,,,,,,,,,,,,,
Business Region,Market Region,ISO2,Country,Number (In Millions),YoY Increase, Amount ($Billions USD) ,YoY Increase, Amount ($ USD) ,YoY Increase,Percent,YoY Increase, Fashion , Food , Furniture , Electronics , Beverages , Beauty & Personal Care , DIY & Hardware , Toys & Hobby , Tobacco , Household Essentials , OTC Pharmaceuticals , Eyewear , Physical Media ,Mobile & Digital Wallets,Debit & Credit Cards,Account-To-Account Transfers (A2A),Buy Now Pay Later Services,Other Payment Methods,Free Delivery,Next Day Delivery,Coupons & Discounts,Simple Online Checkout,Customer Reviews,Easy Returns Policy,Loyalty Points,Interest Free Payments,Eco-Friendly Credentials,Guest Checkout,Click and Collect,Social Likes & Comments,Influencer Recommendations,Exclusive Content Or Services,Social Buy Buttons,Link to Data,
APAC,Southeast Asia,SG,Singapore,4.7,9.3%, $5.6 ,14.9%," $1,210 ",6.3%,26.0%,9.7%, $1.19 , $0.81 , $0.93 , $0.89 , $0.47 , $0.58 , $0.09 , $0.27 ,, $0.15 , $0.08 , $0.07 , $0.10 ,39%,49%,7%,3%,2%,55.8%,26.0%,45.2%,27.1%,35.4%,32.6%,33.3%,15.3%,13.1%,14.3%,17.1%,20.2%,14.9%,13.4%,,https://datareportal.com/reports/digital-2026-singapore,
APAC,Southeast Asia,TH,Thailand,25.8,7.1%, $17.9 ,12.6%, $692 ,5.1%,16.6%,7.1%, $3.16 , $4.42 , $0.40 , $2.50 , $1.31 , $1.79 , $1.44 , $0.40 ,, $1.87 , $0.41 , $0.06 , $0.13 ,30%,17%,44%,1%,8%,54.3%,24.2%,55.7%,19.8%,27.9%,25.6%,20.5%,16.6%,16.6%,,13.9%,31.3%,18.3%,12.6%,12.2%,https://datareportal.com/reports/digital-2026-thailand,
APAC,Southeast Asia,ID,Indonesia,99,11.6%, $42.0 ,15.7%, $424 ,3.6%,11.1%,9.9%, $10.10 , $13.00 , $0.62 , $4.83 , $1.91 , $1.91 , $2.59 , $1.52 , $1.47 , $2.91 , $0.80 , $0.20 , $0.09 ,42%,12%,32%,3%,11%,48.3%,20.3%,46.1%,38.6%,47.4%,25.5%,13.3%,,22.9%,,10.9%,35.9%,20.7%,13.0%,11.0%,https://datareportal.com/reports/digital-2026-indonesia,
APAC,Southeast Asia,VN,Vietnam,24.3,8.0%, $13.8 ,13.8%, $568 ,5.6%,10.4%,7.2%, $2.91 , $2.84 , $0.27 , $2.47 , $0.90 , $0.53 , $0.46 , $0.63 , $1.77 , $0.70 , $0.16 , $0.09 , $0.07 ,41%,19%,23%,1%,16%,48.9%,24.9%,36.4%,25.8%,32.4%,30.9%,22.3%,13.8%,22.3%,13.6%,,26.8%,18.1%,14.9%,14.0%,https://datareportal.com/reports/digital-2026-vietnam,
APAC,Southeast Asia,MY,Malaysia,16,8.8%, $8.8 ,13.1%, $550 ,3.7%,10.3%,6.2%, $3.27 , $0.46 , $0.84 , $1.92 , $0.08 , $0.90 , $0.43 , $0.27 ,, $0.29 , $0.13 , $0.11 , $0.10 ,25%,26%,37%,4%,8%,63.2%,29.0%,54.6%,37.6%,41.9%,33.1%,34.4%,17.7%,19.4%,13.1%,16.7%,30.6%,16.7%,17.1%,,https://datareportal.com/reports/digital-2026-malaysia,
APAC,Southeast Asia,PH,Philippines,32.5,9.8%, $14.0 ,14.4%, $595 ,4.1%,7.3%,7.4%, $2.30 , $2.78 , $0.16 , $3.16 , $0.84 , $1.25 , $1.69 , $0.55 , $0.04 , $0.98 , $0.09 , $0.11 , $0.06 ,39%,27%,12%,2%,20%,58.8%,23.9%,46.3%,32.5%,45.6%,33.3%,28.6%,17.2%,25.6%,11.1%,13.0%,32.4%,22.5%,14.4%,,https://datareportal.com/reports/digital-2026-philippines,
APAC,East Asia,TW,Taiwan,9.1,8.3%, $7.9 ,6.1%, $872 ,-1.5%,8.9%,2.3%, $2.64 , $1.38 , $0.26 , $0.78 , $0.59 , $0.66 , $0.83 , $0.31 ,, $0.24 , $0.04 , $0.06 , $0.12 ,35%,48%,5%,1%,11%,60.9%,23.1%,45.6%,32.0%,26.4%,22.3%,15.2%,17.2%,9.5%,14.6%,12.4%,16.9%,8.2%,10.8%,,https://datareportal.com/reports/digital-2026-taiwan,
EMEA,East Asia,KR,South Korea,41.1,5.9%, $78.1 ,9.8%," $1,902 ",3.7%,35.0%,4.8%, $24.50 , $13.20 , $4.12 , $7.51 , $8.34 , $6.56 , $4.72 , $3.36 ,, $2.71 , $1.56 , $0.77 , $0.72 ,32%,58%,8%,1%,1%,57.4%,23.2%,58.7%,23.4%,32.7%,15.7%,10.7%,6.8%,9.8%,5.1%,2.4%,11.5%,6.9%,10.0%,4.2%,https://datareportal.com/reports/digital-2026-south-korea,
EMEA,East Asia,JP,Japan,86.1,4.7%, $180.0 ,13.3%," $2,095 ",8.1%,28.3%,10.5%, $50.60 , $34.50 , $6.86 , $19.10 , $22.60 , $20.30 , $3.61 , $5.48 , $3.94 , $3.53 , $3.35 , $2.18 , $4.42 ,25%,59%,6%,2%,8%,64.2%,18.5%,52.2%,5.8%,25.6%,13.4%,10.4%,9.3%,7.5%,4.1%,2.0%,8.6%,3.8%,3.8%,2.9%,https://datareportal.com/reports/digital-2026-japan,
EMEA,MENA,SA,Saudi Arabia,20.3,8.6%, $15.2 ,12.1%, $750 ,3.2%,14.6%,8.1%, $5.64 , $0.92 , $1.60 , $1.96 , $0.18 , $1.91 , $1.17 , $0.29 , $0.03 , $0.84 , $0.37 , $0.21 , $0.09 ,33%,41%,15%,1%,10%,46.7%,28.3%,30.5%,19.3%,20.7%,23.7%,27.3%,24.5%,14.7%,,17.4%,25.0%,19.3%,14.0%,12.5%,https://datareportal.com/reports/digital-2026-saudi-arabia,
EMEA,MENA,TR,Turkey,32,8.8%, $31.3 ,8.6%, $976 ,-0.3%,11.8%,4.1%, $9.57 , $2.56 , $1.07 , $2.98 , $0.28 , $1.60 , $11.30 , $660.00 ,, $0.55 , $0.12 , $0.21 , $0.37 ,16%,62%,16%,1%,5%,55.2%,32.5%,41.6%,34.5%,36.9%,46.2%,25.0%,25.1%,16.9%,18.7%,13.6%,26.5%,12.1%,13.6%,,https://datareportal.com/reports/digital-2026-turkey,
